City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
289,colonia,50.9333,6.95,24.97,70,0,2.57,DE,1694289868
290,zhangye,38.9342,100.4517,20.42,25,72,1.02,CN,1694290123
291,malindi,-3.2175,40.1191,24.54,80,10,6.63,KE,1694290123
292,new baltimore,42.6811,-82.7369,21.08,72,100,2.57,US,1694290123
293,suva,-18.1416,178.4415,24.71,69,40,4.63,FJ,1694290123
294,mabaruma,8.2,-59.7833,31.51,61,29,4.37,GY,1694290124
295,preobrazheniye,42.9019,133.9064,18.31,93,100,3.79,RU,1694290124
296,hauterive,46.0901,3.4459,24.42,41,3,2.01,FR,1694290124
297,east london,-33.0153,27.9116,25.73,33,6,3.5,ZA,1694290124
298,berriane,32.8265,3.7669,32.13,21,72,3.77,DZ,1694290125
299,xiaoweizhai,26.1903,107.5125,20.63,96,8,1.28,CN,1694290125
300,mar del plata,-38.0023,-57.5575,15.53,61,100,0.89,AR,1694290097
301,geraldton,-28.7667,114.6,10.23,100,4,4.12,AU,1694290125
302,kill devil hills,36.0307,-75.676,29.43,70,0,5.66,US,1694290125
303,college,64.8569,-147.8028,16.18,64,75,5.14,US,1694290126
304,walvis bay,-22.9575,14.5053,13.94,86,39,3.34,NA,1694290126
305,saldanha,-33.0117,17.9442,14.8,80,100,11.44,ZA,1694290126
306,nemuro,43.3236,145.575,17.47,99,100,2.86,JP,1694290126
307,hanko,59.8333,22.95,17.21,93,78,8.05,FI,1694290127
308,mitchell,43.7094,-98.0298,24.99,57,20,3.09,US,1694289857
309,alta,69.9689,23.2717,18.59,78,20,2.06,NO,1694290127
310,dalnegorsk,44.5604,135.5701,16.44,98,100,0.25,RU,1694290127
311,nova vicosa,-17.8919,-39.3719,24.42,70,28,5.1,BR,1694289885
312,ibarreta,-25.2144,-59.8585,26.3,50,81,2.74,AR,1694290128
313,gamay,12.3854,125.2979,25.19,87,100,1.58,PH,1694290128
314,envira,-7.3,-70.2167,38.17,24,89,1.28,BR,1694290128
315,aracuai,-16.8497,-42.0703,30.81,28,17,2.92,BR,1694290128
316,fada,9.5667,8.3,20.08,95,100,0.92,NG,1694290129
317,lerwick,60.1545,-1.1494,14.0,93,98,5.57,GB,1694290129
318,mount gambier,-37.8333,140.7667,8.32,95,68,1.62,AU,1694289911
319,menongue,-14.6585,17.691,19.25,20,1,2.03,AO,1694290129
320,la sarre,48.8002,-79.1996,18.43,41,32,1.89,CA,1694290130
321,palora,-1.7,-77.9333,25.06,55,93,0.6,EC,1694290130
322,cascais,38.6979,-9.4215,21.95,84,20,12.52,PT,1694290130
323,tangalle,6.024,80.7911,24.56,91,93,4.43,LK,1694290130
324,kapa'a,22.0752,-159.319,28.99,71,20,6.17,US,1694290131
325,faya-largeau,17.9257,19.1043,38.5,19,3,2.12,TD,1694290131
326,itoman,26.1247,127.6694,26.21,89,2,3.6,JP,1694290131
327,chernomorskiy,44.8506,38.4936,11.38,62,31,2.84,RU,1694290131
328,shajiang,26.7825,119.9669,22.05,90,41,1.46,CN,1694290132
329,ocean shores,46.9737,-124.1563,26.92,72,0,3.6,US,1694290099
330,sisimiut,66.9395,-53.6735,5.57,70,11,2.91,GL,1694290132
331,aquin,18.2833,-73.4,30.96,63,3,2.21,HT,1694290132
332,remire-montjoly,4.9167,-52.2667,31.02,62,9,4.12,GF,1694290132
333,vilyuysk,63.7553,121.6247,1.98,98,100,2.82,RU,1694290133
334,sipocot,13.768,122.9762,24.98,92,99,0.96,PH,1694290133
335,chonchi,-42.6128,-73.8092,13.95,71,9,3.62,CL,1694290133
336,luderitz,-26.6481,15.1594,13.39,87,78,3.22,NA,1694290133
337,salina cruz,16.1667,-95.2,35.11,45,26,8.33,MX,1694290134
338,colares,38.7992,-9.4469,21.85,84,20,12.52,PT,1694290134
339,jiangyou,31.7667,104.7167,23.3,89,100,1.73,CN,1694290134
340,port lincoln,-34.7333,135.8667,11.48,82,100,4.18,AU,1694290135
341,baiyin,36.5583,104.2081,19.04,46,100,1.09,CN,1694290135
342,nabire,-3.3667,135.4833,23.74,93,100,0.34,ID,1694290135
343,san agustin de valle fertil,-30.6335,-67.4682,25.43,22,4,4.75,AR,1694290136
344,benjamin constant,-4.3831,-70.0311,34.07,58,40,2.57,BR,1694290136
345,kiama,-34.6833,150.8667,7.92,73,0,0.89,AU,1694290051
346,ta`u,-14.2336,-169.5144,26.21,78,100,3.07,AS,1694290136
347,puerto deseado,-47.7503,-65.8938,6.41,75,100,8.03,AR,1694290136
348,celestun,20.8667,-90.4,29.82,65,13,4.75,MX,1694290137
349,ahvaz,31.3203,48.6693,35.97,15,0,5.14,IR,1694290137
350,keflavik,64.0049,-22.5624,8.24,81,75,4.63,IS,1694290137
351,howard springs,-12.497,131.047,24.95,73,58,2.22,AU,1694290137
352,leava,-14.3,-178.1667,26.49,76,77,6.9,WF,1694290138
353,nikel,69.4128,30.222,18.1,89,100,6.72,RU,1694290138
354,novyy turtkul',41.55,61.0167,16.95,28,85,6.43,UZ,1694290138
355,xilin hot,43.9667,116.0333,14.52,87,38,2.55,CN,1694290138
356,preili,56.2944,26.7246,13.33,78,5,2.45,LV,1694290139
357,boali,4.8005,18.1275,22.7,87,1,1.85,CF,1694290139
358,salinas,36.6777,-121.6555,30.87,64,0,4.63,US,1694289900
359,banka,24.8833,86.9167,26.75,89,97,2.71,IN,1694290139
360,mildura,-34.2,142.15,10.51,79,86,2.64,AU,1694290140
361,mukalla,14.5425,49.1242,30.96,67,100,1.16,YE,1694290140
362,borba,-4.3878,-59.5939,40.65,19,60,1.51,BR,1694290140
363,kanggye,40.9695,126.5852,19.2,86,100,0.39,KP,1694290140
364,forio,40.7342,13.8646,26.9,61,66,3.58,IT,1694290140
365,sao joao da barra,-21.6403,-41.0511,26.05,81,1,8.26,BR,1694290124
